Dates, Index, Long Short Equity, Distressed Debt, Large, Arbitrage, Medium, Billion Dollar, CTA/Managed Futures, Multi-Strategy, Small, Fixed Income, Event Driven, Macro, Relative Value, Top 50, SPY
2005-04-29,187.763358207424,183.119533916964,227.688750331781,153.133038378044,162.001102709109,161.605216578632,163.481546245045,196.509630155831,200.12852985512,211.455781627084,179.053870273098,186.46616484137903,184.183980576813,194.441631614799,,85.19854786201999
2005-05-31,189.98224620665505,185.501618681221,228.629084396257,154.439769986264,161.774915721961,162.78769537953698,165.242934532651,201.30105448020302,201.099316438734,214.05173057096297,179.847467978773,188.598936566185,185.872581080095,196.022219513228,,87.94402900870827
2005-06-30,193.01661798830295,188.82790573820702,231.75846207165,156.866903618462,163.005307126209,165.400214323974,168.116709942498,205.87055975246798,203.61444756034905,217.364228284101,181.36560827891398,191.854602307259,187.866998760518,197.492526308544,,88.07723970651692
2005-07-29,196.440754555118,193.82969507446603,236.046756759365,159.175810565208,164.856545387451,168.451787390835,170.154972793859,206.858250943193,206.750278639985,221.158128593844,182.861665775335,195.91445343043202,189.76671461178,200.431590693465,,91.44719065357384
2005-08-31,198.421596255936,196.047815412497,238.796242929629,160.806251449322,165.836368851098,170.134331133101,171.543067823197,209.120386964742,208.912449564865,223.06484507439603,183.64260281580502,198.046926157835,191.18162869364897,200.713433277373,,90.58994036529648
2005-09-30,202.757292999098,201.572209395154,240.824343505434,164.705638389686,167.28478863200002,173.89276639965198,175.321881458348,212.182818364733,213.561999874371,227.725534796341,185.09548638246602,200.965068160712,196.119809659125,203.800051425473,,91.31697465021551
2005-10-31,200.72236400725498,197.92650021372398,240.766517084226,162.585404745655,167.33029454669,171.91135288512902,173.41745979605702,211.755740710611,211.85517162826199,225.227157390607,185.24311422531602,198.469946268485,194.838765234622,202.84854680623695,,89.15723749621958
2005-11-30,205.156326514681,202.74642790142101,243.81913172603905,165.545804750347,168.143980330945,175.431864866941,176.35918676485196,219.11733528149503,216.39769683801498,230.322293931621,186.170142259208,202.189479522607,198.174191806664,205.06599418036097,,93.07592439719043
2005-12-30,209.328954759586,208.639141929198,247.923178179588,169.000079729151,169.765829632875,178.888299211817,178.68889402,220.590097962481,221.239835991435,234.76493540904,187.573676394452,205.830808120628,201.259008877599,207.46939237736697,,92.89781608486872
2006-01-31,216.287356661303,217.656529335191,253.178840209086,174.16723567461003,172.81051598419205,184.33751995208198,183.484392499064,225.519162682095,228.714468486112,242.56963810691798,189.770596138663,213.22019159606603,207.43748958353802,212.98025423269797,,95.12869623392851
2006-02-28,217.396927198391,218.878351428595,256.065436803418,174.371275099622,174.34316729901403,184.992348646235,184.24434453358398,224.06888167941295,231.587614985425,243.58977981344398,190.9901458543,215.475205195937,208.65559545032602,215.027138762681,,95.67331258278641
2006-03-31,221.750508598662,224.42583747256901,261.43733513139097,177.66623125046505,175.98077316848202,188.217702589149,187.64650873278302,229.10863382864602,235.565020990069,248.788046912363,191.85325309479302,220.930958598567,209.492130860594,218.929951429349,,97.2523222373317
2006-04-28,226.591621578658,229.127666119917,267.355158143309,181.106039947098,177.615250238555,191.79704072193695,190.983207624385,237.94682507076698,239.93293258889702,254.181186537683,193.35543001485402,224.96219045316602,214.03513374620601,221.694413675577,,98.48080062624079
